"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"18",155437849258.126,33.8333320617676,10.3333333333333,108924.406874129,7.21474989315947,91.478425675311,3073.51704186672,6.66751500841739,9475666.66666667,8.57,"Belarus",2,2,9
"19",448979559506.573,22.8666661580403,1.20000000794729,136306.987597921,6.01126988479405,71.9171919251067,5234.38312089059,9.04262978252627,11023858.6666667,24.25,"Belgium",1,7,2
"20",2600531091.25724,21.9504808263432,15.6930314023031,1534.99146329722,29.6913088585794,66.2762942693806,1467.51604856436,1.63950264886027,329169.666666667,18.55,"Belize",2,6.35670001596201,23
"21",17328507261.1804,13.3149761306769,37.5476180769268,33284.156999658,51.1029335171484,41.8103168978753,385.673080710125,0.542073404805073,9779660.33333333,22.25,"Benin",2,5,6
"23",5002155460.75264,8.16666666666667,60.5999997456869,3258.99049831736,86.1250721313529,16.404027838611,689.69954495335,0.926087452735499,732067.666666667,47.3,"Bhutan",1,5,16
"24",56456717109.9442,17.8556156032889,21.6079538811102,448536.399309454,31.4004101632981,83.8242572672232,690.857506001895,1.6568095434985,10078415,24.83,"Bolivia",2,6,8
"25",35888425078.5738,23.9854258977973,22.7023948316349,26377.8585457028,16.3331974426157,92.5323605338488,1766.79490664956,5.86484658365429,3831995.66666667,1.28,"Bosnia and Herzegovina",1,4.20978911065505,6
"26",28373191457.6568,22.4509344532899,16.8593172130905,81884.5228350122,24.1664545680244,65.1478953408291,1033.8494036481,2.17782898723758,2090119.66666667,29.15,"Botswana",2,7,25
"27",2954792791883.62,22.8333339691162,13.811923847819,2948233.69801352,45.368294204817,54.8662052574869,1359.04951717047,2.20902208288274,200511125.333333,20.37,"Brazil",2,6,11
"29",29034266201.8843,30.3800601343023,-0.878531912080704,14482.3522025002,-3.43583573675222,100.975694788145,9126.49026151389,22.9768335307764,399419,29.68,"Brunei Darussalam",2,7.56888362717839,4
